epoch,train_loss,train_acc,val_loss,val_acc
1,2.317225311279297,0.129375,2.0798118257522584,0.206
2,2.113722352027893,0.200875,1.879548565864563,0.283
3,1.9703063344955445,0.241,1.7771945152282715,0.3595
4,1.8958538818359374,0.271125,1.6964304161071777,0.376
5,1.8099802827835083,0.313625,1.657695915222168,0.398
6,1.731057939529419,0.344,1.6216109972000121,0.409
7,1.7019974203109742,0.364,1.4986989603042602,0.4555
8,1.6146907167434692,0.388,1.482106364250183,0.433
9,1.592582324028015,0.398125,1.4983106079101562,0.4445
10,1.5348706645965575,0.423875,1.3981960172653198,0.4785
11,1.5385675258636475,0.431,1.3534343461990357,0.4975
12,1.4846850032806396,0.45025,1.3397757740020753,0.52
13,1.4873014612197877,0.454875,1.3143193340301513,0.517
14,1.45761692237854,0.468625,1.3296827249526977,0.5105
15,1.4336819772720337,0.473,1.3524614391326903,0.504
16,1.410421109199524,0.488,1.2691742248535156,0.539
17,1.3838049154281615,0.50175,1.2768386535644531,0.534
18,1.3697651677131653,0.50275,1.2250042924880982,0.559
19,1.3315184555053712,0.51425,1.2312057628631592,0.5375
20,1.3186412868499755,0.52675,1.3325772342681885,0.5305
21,1.3172415647506714,0.528,1.2112819957733154,0.564
22,1.3014080324172974,0.538,1.2129335289001464,0.5635
23,1.2900522575378417,0.54275,1.1946126594543458,0.578
24,1.2683245944976806,0.551,1.1886269378662109,0.5805
25,1.263531750202179,0.55125,1.1749332666397094,0.5645
26,1.243986023902893,0.553375,1.1478293628692626,0.581
27,1.2150401515960694,0.568375,1.1247908687591552,0.606
28,1.1970113248825074,0.578625,1.0878635540008545,0.625
29,1.1944084429740907,0.5825,1.130086438179016,0.603
30,1.2032311334609986,0.583875,1.0986254196166991,0.6145
