epoch,train_loss,train_acc,val_loss,val_acc
1,2.36404771232605,0.138375,2.1672141036987305,0.249
2,2.15124579334259,0.197875,1.9428244800567627,0.3355
3,2.0178377285003664,0.251375,1.7877318334579468,0.378
4,1.91886803150177,0.2885,1.678614851951599,0.404
5,1.8431324605941772,0.319,1.6247297134399414,0.4375
6,1.7806119441986084,0.338,1.5644100532531737,0.435
7,1.7408760585784913,0.3595,1.524696795463562,0.4575
8,1.685446165084839,0.3815,1.4765573797225953,0.4775
9,1.646784595489502,0.398,1.4216222248077393,0.4925
10,1.6076793327331542,0.41025,1.4482523460388184,0.4935
11,1.5908269481658937,0.417375,1.3974512720108032,0.507
12,1.5673135204315185,0.4245,1.3824580793380736,0.502
13,1.5358173666000365,0.432875,1.357581904411316,0.514
14,1.521893349647522,0.446625,1.3107162103652954,0.5255
15,1.5053399991989136,0.456375,1.3109722814559936,0.5315
16,1.4922480020523072,0.455125,1.2807503032684326,0.5525
17,1.477848744392395,0.459875,1.281539719581604,0.552
18,1.4494415817260742,0.47525,1.2613212537765504,0.551
19,1.4515356826782226,0.476375,1.2324064111709594,0.555
20,1.4283468618392945,0.478125,1.2470356512069702,0.555
21,1.4169565382003784,0.49,1.2276056575775147,0.547
22,1.3932326040267944,0.49975,1.2226138563156128,0.552
23,1.4051622095108032,0.4945,1.2220720863342285,0.552
24,1.3727412643432617,0.502125,1.180751545906067,0.568
25,1.3633753094673158,0.51375,1.2035637216567994,0.57
26,1.3581964788436889,0.511125,1.2237750358581543,0.563
27,1.3417054834365845,0.5215,1.1678451738357545,0.5775
28,1.3530737433433533,0.512375,1.1804669313430787,0.5735
29,1.32326868724823,0.535375,1.1568017206192016,0.5845
30,1.2988671445846558,0.54,1.1455990724563598,0.591
