epoch,train_loss,train_acc,val_loss,val_acc
1,2.3264550418853758,0.141375,2.1295809516906736,0.261
2,2.1756882429122926,0.18275,2.0160740394592285,0.275
3,2.0750785465240478,0.21625,1.8562184495925904,0.3725
4,1.9858404064178468,0.246,1.7688225059509277,0.376
5,1.9111775608062744,0.2775,1.671341323852539,0.407
6,1.852320140838623,0.300875,1.6090260848999023,0.44
7,1.8025089693069458,0.328375,1.5861419448852538,0.446
8,1.7661728286743164,0.330875,1.5720347843170166,0.444
9,1.754242506980896,0.35425,1.5143904943466187,0.475
10,1.7289317378997802,0.36125,1.4838699445724488,0.488
11,1.6875976362228393,0.376625,1.4520664205551148,0.4885
12,1.6591395187377929,0.38075,1.4369154987335204,0.4995
13,1.6614376287460326,0.390875,1.4077005643844605,0.4975
14,1.6290421848297119,0.405375,1.3764583587646484,0.522
15,1.621675916671753,0.412875,1.3911857614517211,0.4995
16,1.604075933456421,0.416625,1.3750376825332642,0.5175
17,1.5894067840576172,0.421,1.3398247346878052,0.5225
18,1.582200891494751,0.42775,1.3528392925262451,0.526
19,1.5698873767852783,0.428,1.324837215423584,0.5305
20,1.557407458305359,0.43475,1.3006708717346191,0.5405
21,1.5485493202209473,0.43975,1.307369704246521,0.544
22,1.5484840965270996,0.445375,1.3207335596084595,0.5335
23,1.5208584966659546,0.450625,1.282851490020752,0.544
24,1.5234006414413452,0.447125,1.2995320796966552,0.5435
25,1.50532870388031,0.454625,1.2638679924011231,0.5565
26,1.507478964805603,0.461625,1.2733576793670653,0.5605
27,1.50809903049469,0.444,1.2803992576599121,0.5545
28,1.493601900100708,0.46375,1.25615127658844,0.5585
29,1.488513424873352,0.46775,1.2429569787979127,0.567
30,1.4811272897720338,0.46125,1.2581711292266846,0.5585
